Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.001218,3.00,3452.00,1.4623
AVG,0.003040,9.62,10457.37,2.0317
MEDIAN,0.002490,8.00,8723.00,1.8568
MAX,0.013816,55.00,54408.00,3.5503
STDEV,0.001804,7.19,7077.82,0.4627

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.001574,4,4582,1.6338
2,0.002567,8,8643,1.7053
3,0.002046,5,5923,1.7533
4,0.003392,12,12844,1.9504
5,0.002849,9,10023,1.7452
6,0.002174,7,8213,2.2402
7,0.001800,3,3587,1.7233
8,0.005026,18,19206,2.7243
9,0.003635,8,8819,2.0181
10,0.003153,7,7825,1.9945
11,0.001862,5,6201,1.6645
12,0.001706,5,5587,1.5465
13,0.005190,20,20819,2.0530
14,0.001906,6,6671,2.3017
15,0.001373,4,4832,1.5195
16,0.002063,6,6857,1.7039
17,0.002611,9,9752,1.7872
18,0.004840,17,17885,2.7868
19,0.001657,5,5736,2.2144
20,0.002837,7,7758,1.6929
21,0.002047,3,3452,1.5224
22,0.001515,4,4931,1.7209
23,0.001799,5,5925,1.9668
24,0.001511,4,4727,1.5790
25,0.002208,7,7626,2.1250
26,0.001743,5,5904,1.8303
27,0.003066,11,12229,1.7378
28,0.004215,10,11428,1.7792
29,0.002913,10,10963,1.7149
30,0.005138,17,17776,3.1419
31,0.002579,8,8805,1.9755
32,0.013816,55,54408,2.3383
33,0.001915,5,5779,1.7191
34,0.004004,15,15518,2.2199
35,0.002985,9,10344,2.7660
36,0.003253,8,8917,2.0470
37,0.003605,9,9778,2.1791
38,0.005412,16,16452,2.8376
39,0.002350,6,6871,1.8754
40,0.003992,15,16296,2.5591
41,0.002764,9,10199,1.8888
42,0.001879,6,6853,2.5263
43,0.002650,9,9721,2.4786
44,0.001746,5,5752,1.7072
45,0.005148,20,20381,2.4545
46,0.006341,21,21209,2.2231
47,0.002112,7,7930,1.7049
48,0.002990,11,12142,2.6597
49,0.001647,5,5426,1.8505
50,0.001534,4,4800,1.8600
51,0.001218,3,3644,1.5177
52,0.002537,5,5372,1.7008
53,0.001472,4,4525,1.8925
54,0.002711,9,10083,2.5284
55,0.003262,12,12570,1.8998
56,0.003290,9,9858,2.8290
57,0.002025,6,7189,1.7614
58,0.001720,5,5863,2.0406
59,0.001849,5,6029,2.0338
60,0.006481,22,22491,2.5317
61,0.001721,5,5847,1.6102
62,0.004633,15,15808,3.4797
63,0.002169,6,6740,1.7616
64,0.002380,8,9161,1.6994
65,0.005288,19,19611,2.8788
66,0.003419,12,13418,2.3827
67,0.001668,4,4751,1.6986
68,0.003532,12,12788,2.2520
69,0.004131,15,16188,3.0001
70,0.001674,5,5951,1.7765
71,0.002443,8,9359,1.8809
72,0.003161,11,12121,1.6209
73,0.007455,25,25781,2.0248
74,0.001443,4,5344,1.8491
75,0.001601,4,5113,1.7007
76,0.001565,4,4922,1.7975
77,0.003056,7,7193,1.8078
78,0.003238,11,11743,2.0096
79,0.002010,4,4800,1.5946
80,0.007594,26,26400,1.7981
81,0.007309,29,29230,3.5503
82,0.003176,11,11968,1.6287
83,0.001642,4,4983,1.8108
84,0.004425,15,15927,2.4282
85,0.004388,15,16130,1.9936
86,0.003066,8,9023,1.7584
87,0.002152,7,7607,1.7829
88,0.002369,8,9077,2.3682
89,0.001770,5,5790,1.6824
90,0.006081,20,20991,3.4652
91,0.002317,4,4530,1.8535
92,0.003877,11,11910,1.5119
93,0.002148,6,6958,1.4623
94,0.002164,7,7637,2.5890
95,0.001381,4,4534,1.5989
96,0.003503,12,13533,1.7018
97,0.001628,5,5906,1.7791
98,0.002285,8,8995,1.5046
99,0.002083,6,7237,1.9119
100,0.002361,8,8803,1.6774
