Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.007498,21.00,20021.00,2.6133
AVG,0.020653,47.45,45247.89,3.4932
MEDIAN,0.018445,44.00,41863.00,3.4373
MAX,0.074552,133.00,126332.00,6.7407
STDEV,0.009955,18.91,18040.99,0.5355

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.018367,43,39936,3.3248
2,0.027008,62,59455,3.3067
3,0.011594,22,21254,3.0458
4,0.008780,24,23344,3.0569
5,0.011234,33,32034,3.7703
6,0.024613,51,47842,3.3719
7,0.015780,35,33202,3.6050
8,0.017965,40,37607,3.5353
9,0.022758,55,51915,3.3371
10,0.022787,58,54840,3.0459
11,0.014116,34,31803,2.6915
12,0.013202,31,28878,3.5656
13,0.014201,29,29051,3.1741
14,0.015738,39,36372,2.8995
15,0.014030,29,28076,3.3227
16,0.012688,32,29584,3.7085
17,0.011231,33,30919,3.2651
18,0.020965,54,51075,3.9374
19,0.018523,45,42228,3.6775
20,0.052340,107,102531,4.1004
21,0.020028,51,48407,3.4210
22,0.017431,44,41498,3.5760
23,0.014369,34,32003,3.5352
24,0.020552,51,48469,2.7629
25,0.021195,54,52308,4.3410
26,0.028974,62,58388,3.5018
27,0.020373,46,43891,3.7345
28,0.038586,87,83620,3.9735
29,0.033096,79,75843,3.5131
30,0.025141,53,51221,3.8578
31,0.036455,82,77985,3.7317
32,0.018109,47,44592,3.9000
33,0.016068,36,34190,4.0667
34,0.019917,46,43468,2.8254
35,0.017968,44,42539,3.3103
36,0.031249,68,64527,3.5186
37,0.009942,29,28529,3.2288
38,0.013479,34,32752,2.6933
39,0.031540,74,71473,4.5714
40,0.020031,49,48333,3.4017
41,0.017344,44,40949,3.6985
42,0.026248,57,53237,3.7799
43,0.012792,34,31880,3.3624
44,0.026779,55,53707,3.1142
45,0.018363,42,40766,3.0887
46,0.011461,23,22243,3.0174
47,0.017654,41,40197,3.1386
48,0.017540,39,37276,3.4755
49,0.025992,57,53802,3.4370
50,0.015602,38,36007,3.9144
51,0.022163,52,49064,3.3690
52,0.023529,61,56942,4.2656
53,0.016690,38,37113,3.1316
54,0.026356,59,55577,3.7314
55,0.030054,75,71317,3.5460
56,0.011911,28,27334,3.2129
57,0.022213,52,51012,4.3422
58,0.053373,102,98835,3.7275
59,0.016474,40,39102,3.8058
60,0.015978,36,35221,3.4395
61,0.010503,29,27557,3.8729
62,0.012112,30,28176,2.8926
63,0.016203,40,38695,2.9233
64,0.018858,43,41453,2.6133
65,0.016358,36,33151,3.0633
66,0.021413,51,49399,2.8072
67,0.023468,50,50189,3.2433
68,0.028012,58,54427,3.2522
69,0.021244,49,46813,3.2663
70,0.014090,36,34693,3.4932
71,0.018933,40,37099,3.3258
72,0.014911,33,32628,3.0902
73,0.027038,55,52463,3.5380
74,0.018945,43,40667,3.3321
75,0.017031,39,36616,4.1565
76,0.017800,40,37502,3.5643
77,0.008735,22,21364,2.8593
78,0.019597,45,43303,3.7521
79,0.014936,38,36345,3.3567
80,0.022015,57,53962,3.4924
81,0.023916,56,53238,3.2694
82,0.023152,53,50644,3.4917
83,0.020209,46,43195,3.5216
84,0.029982,62,59384,3.0683
85,0.030805,65,61050,3.1320
86,0.074552,133,126332,6.7407
87,0.020962,51,48258,3.1666
88,0.007498,21,20021,3.0465
89,0.013245,27,25008,3.4127
90,0.048096,100,95266,5.3337
91,0.017980,45,44098,3.5476
92,0.008698,25,23844,3.5877
93,0.013625,34,32982,3.3418
94,0.024112,60,55811,3.9343
95,0.012758,30,27763,3.8859
96,0.014952,37,35582,3.2764
97,0.010098,26,25002,3.2318
98,0.012636,31,29843,3.6525
99,0.020722,49,46411,3.5416
100,0.024176,61,56992,3.4375
