Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.004055,6.00,23782.00,2.0864
AVG,0.006373,8.16,32488.89,2.8400
MEDIAN,0.005921,8.00,31754.50,2.8873
MAX,0.019049,13.00,51839.00,3.8169
STDEV,0.001999,1.51,5753.30,0.3830

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.004728,7,28541,2.6342
2,0.005602,8,32059,3.2546
3,0.005923,9,35457,3.3612
4,0.006379,8,32354,3.2027
5,0.006937,7,27859,2.7708
6,0.004597,7,27573,2.8969
7,0.007922,7,27253,2.5363
8,0.006140,9,35281,2.6843
9,0.005513,7,28033,2.6886
10,0.005849,9,35463,2.5311
11,0.006631,8,31954,2.7234
12,0.004674,7,29863,3.0447
13,0.009567,11,42549,3.1495
14,0.006626,10,39877,3.6768
15,0.007877,9,35033,3.7195
16,0.008833,12,47260,2.9827
17,0.005593,8,31526,3.1914
18,0.004870,7,27598,2.4551
19,0.007151,8,32309,2.9518
20,0.004798,7,28560,2.6843
21,0.007572,8,31097,2.9470
22,0.006008,9,37081,2.8824
23,0.005281,8,33026,3.0144
24,0.006505,10,39061,2.8923
25,0.005895,6,24332,2.5944
26,0.007878,9,34684,3.4330
27,0.005936,9,36929,2.6669
28,0.019049,10,40452,3.8169
29,0.006020,9,34881,3.2461
30,0.007850,10,38884,3.0248
31,0.005396,8,32771,3.3327
32,0.006087,7,27988,2.4613
33,0.005648,8,32610,2.8266
34,0.006470,8,31027,2.7445
35,0.005179,8,33059,3.2799
36,0.004335,6,24790,2.3286
37,0.006801,10,38848,3.0721
38,0.007436,8,32922,3.0195
39,0.006226,8,31780,3.1364
40,0.009295,9,35879,3.0724
41,0.004684,7,28463,2.9181
42,0.006825,10,38845,2.7888
43,0.005482,8,31166,2.9233
44,0.006928,6,24558,2.1261
45,0.004261,6,23956,2.6265
46,0.009043,9,35617,3.0410
47,0.008054,8,32516,2.8508
48,0.009776,10,38297,2.8296
49,0.007166,11,42535,3.1179
50,0.005889,9,35623,2.7288
51,0.005305,8,32068,3.1336
52,0.008041,10,39489,3.2034
53,0.005305,8,31806,2.5454
54,0.007939,10,39378,3.0531
55,0.004931,7,28478,2.9307
56,0.006210,9,37289,3.2180
57,0.005384,8,31490,2.9088
58,0.005175,8,31659,3.3135
59,0.006083,7,28968,2.8631
60,0.004737,7,28686,2.4616
61,0.005134,6,23782,2.4065
62,0.004190,6,24728,2.4193
63,0.004828,7,28005,2.1013
64,0.006272,6,24714,2.4226
65,0.005911,9,34171,2.2967
66,0.006120,9,35160,2.3684
67,0.005188,8,31609,3.0386
68,0.005594,7,28406,2.9695
69,0.008536,9,35452,2.5414
70,0.007037,7,27986,2.5128
71,0.005475,8,31841,2.6970
72,0.005919,9,36797,3.0990
73,0.004624,7,27428,2.3203
74,0.004055,6,25130,2.2248
75,0.011641,13,51839,3.0037
76,0.004724,7,27790,2.4617
77,0.005312,8,31336,2.8124
78,0.004901,7,27421,2.2912
79,0.004819,7,27889,2.1373
80,0.004075,6,24436,2.0864
81,0.009781,12,46330,2.7860
82,0.005120,6,24038,2.1592
83,0.004962,7,27760,2.3086
84,0.004845,7,28666,3.0887
85,0.008531,10,39527,3.7554
86,0.007149,7,27036,2.9140
87,0.008841,12,47204,3.0573
88,0.004667,7,28185,2.3714
89,0.005173,8,31729,3.4848
90,0.006736,8,31609,2.5591
91,0.004560,7,27458,2.5196
92,0.004678,7,28363,2.9382
93,0.006211,9,35788,2.6521
94,0.005375,8,31243,3.0990
95,0.006711,10,39682,3.3459
96,0.005183,8,31335,2.8422
97,0.007446,8,32145,3.1321
98,0.007057,6,23861,2.2307
99,0.010594,11,43907,3.1364
100,0.005071,7,27713,2.8975
