Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.003769,8.00,32555.00,1.5163
AVG,0.007459,13.66,52895.31,1.8061
MEDIAN,0.006221,13.00,49766.00,1.6537
MAX,0.020709,27.00,95798.00,2.9253
STDEV,0.003534,4.20,13439.63,0.3471

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.006160,14,53742,1.6109
2,0.004591,11,45267,1.6016
3,0.005554,13,49046,1.9449
4,0.005251,13,53181,1.5700
5,0.020279,26,92839,2.4587
6,0.004330,10,42182,1.5979
7,0.006067,14,57500,1.6412
8,0.013026,19,69032,2.8251
9,0.006387,15,57944,1.6940
10,0.014491,22,80915,2.9253
11,0.003997,9,38169,1.5223
12,0.003885,9,38194,1.5959
13,0.008800,12,46975,1.5739
14,0.005132,12,48895,1.5611
15,0.008406,11,43957,1.5967
16,0.003920,9,38607,1.5988
17,0.010021,15,55725,1.7270
18,0.009265,13,51637,1.5919
19,0.008163,12,46631,1.6439
20,0.010024,15,52420,1.5611
21,0.004260,10,40471,1.5533
22,0.004185,10,41350,1.6361
23,0.005509,10,39962,1.5855
24,0.004301,10,41653,1.6287
25,0.007348,10,43303,1.6521
26,0.004710,10,40784,1.5163
27,0.008248,11,45976,1.5370
28,0.004254,10,41211,1.6032
29,0.005006,11,44912,1.6141
30,0.007935,17,62204,2.0195
31,0.009092,19,68091,2.3272
32,0.012450,22,78959,2.7024
33,0.007990,13,50140,2.0167
34,0.009982,18,68621,1.7111
35,0.004943,9,35648,1.6282
36,0.004188,10,41083,1.7369
37,0.005160,12,49262,1.5847
38,0.013454,21,81960,2.4930
39,0.006538,15,56918,1.6343
40,0.011600,19,67300,2.6998
41,0.004637,10,39897,1.6079
42,0.015783,24,80904,2.2377
43,0.005610,10,41270,1.6795
44,0.004333,9,38552,1.5897
45,0.010881,20,71917,1.5838
46,0.006089,14,50873,2.0510
47,0.004341,10,40590,1.5848
48,0.005538,10,40249,1.6140
49,0.004710,11,45907,1.6528
50,0.005576,10,42662,1.6818
51,0.010396,19,66532,2.4434
52,0.013042,20,72574,2.6962
53,0.007316,16,62185,2.0775
54,0.009986,18,65531,1.6914
55,0.007854,16,58977,2.3854
56,0.007103,17,65175,1.7187
57,0.004743,11,44508,1.6505
58,0.005103,12,47446,1.6666
59,0.006047,13,52682,1.6331
60,0.004560,8,32555,1.5446
61,0.009431,14,57532,1.7268
62,0.004899,11,44599,1.6827
63,0.009832,16,65759,2.1217
64,0.003856,9,35888,1.7404
65,0.004196,10,41478,1.6280
66,0.011049,17,63518,2.8165
67,0.008314,12,47460,1.7440
68,0.007061,12,48726,1.6335
69,0.004752,11,44385,1.6636
70,0.004542,11,46459,1.5976
71,0.005807,14,53440,1.8189
72,0.014863,22,77212,1.7899
73,0.005920,12,47420,1.6156
74,0.006048,14,56969,1.5274
75,0.004904,10,41981,1.6730
76,0.020709,27,95798,2.5200
77,0.005304,12,49786,1.7763
78,0.005709,13,49483,1.6470
79,0.006950,14,50677,1.6835
80,0.004992,10,38551,1.6039
81,0.004007,9,37964,1.5396
82,0.009302,17,64348,1.9452
83,0.008233,13,49967,1.7011
84,0.006292,15,56136,1.6425
85,0.009667,13,52493,1.6727
86,0.004731,10,40991,1.6720
87,0.007218,17,63697,1.6890
88,0.003769,9,37933,1.6234
89,0.004648,9,37557,1.5721
90,0.012389,21,76135,2.6360
91,0.008083,13,53341,1.8255
92,0.006308,11,44606,1.6159
93,0.006210,14,54699,1.7469
94,0.008905,15,60024,1.6841
95,0.007590,14,52022,1.6546
96,0.006233,10,41662,1.5570
97,0.009417,13,49746,1.9827
98,0.006870,16,57735,1.5616
99,0.005642,13,50383,1.6058
100,0.018656,24,87319,2.1546
