Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.001378,4.00,15910.00,1.5382
AVG,0.002226,4.68,20717.91,1.8607
MEDIAN,0.001773,5.00,21443.50,1.8188
MAX,0.008710,6.00,28957.00,2.5589
STDEV,0.001144,0.65,3199.49,0.1933

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.001645,5,21490,1.8998
2,0.002919,5,21826,1.9968
3,0.001998,4,16455,1.6818
4,0.002138,5,22706,2.0482
5,0.002781,5,22824,1.8571
6,0.001467,4,17778,1.7198
7,0.001665,5,22423,1.7395
8,0.002548,5,22091,2.1224
9,0.004100,4,18352,1.8016
10,0.002854,5,22297,2.0742
11,0.002597,5,22904,1.8149
12,0.004636,4,16490,1.8081
13,0.001688,5,22436,1.6769
14,0.001393,4,18295,1.6854
15,0.001718,4,17901,1.6699
16,0.001974,6,27090,2.5589
17,0.002955,6,26209,2.3947
18,0.001981,6,27520,2.3114
19,0.001385,4,16851,1.8456
20,0.001711,5,23701,1.9682
21,0.001721,4,17968,1.6045
22,0.001600,4,17922,1.6213
23,0.002034,5,22483,1.7688
24,0.002175,6,25975,2.0776
25,0.002408,5,23761,1.9850
26,0.001416,4,17815,1.6649
27,0.002004,6,27272,1.9713
28,0.001379,4,17213,1.6250
29,0.001545,4,17703,1.7978
30,0.001620,5,21980,1.9970
31,0.002146,6,26643,1.7621
32,0.001536,4,16844,1.7285
33,0.001448,4,18079,1.5663
34,0.001565,4,17159,1.6801
35,0.005167,5,23009,1.9368
36,0.004176,4,16486,1.8323
37,0.001748,5,21951,1.9907
38,0.002279,5,23171,2.0819
39,0.001584,4,18207,1.5789
40,0.002058,6,26258,2.4330
41,0.001393,4,17873,1.5633
42,0.001426,4,16947,1.8393
43,0.001942,5,22567,1.9796
44,0.001829,4,18204,1.7242
45,0.001498,4,17275,1.7400
46,0.001868,5,22925,1.6864
47,0.003839,5,20795,2.0159
48,0.002217,5,22043,1.9521
49,0.002495,5,22013,2.0487
50,0.001715,5,22984,2.1191
51,0.001902,5,22510,1.9780
52,0.001901,6,26538,2.0222
53,0.001397,4,17900,1.7315
54,0.001605,4,16666,1.7328
55,0.001672,5,22413,2.1518
56,0.005397,5,21397,1.6288
57,0.001609,5,22228,1.9522
58,0.002188,5,22175,1.9963
59,0.001754,5,21201,1.9527
60,0.001674,5,22569,1.9744
61,0.001695,5,22033,2.2163
62,0.005354,5,22287,1.8854
63,0.008710,4,16901,1.6668
64,0.001743,5,20910,1.8365
65,0.001706,5,22438,2.0392
66,0.001792,5,22892,1.5955
67,0.001647,4,17064,1.6941
68,0.001587,4,18121,1.7303
69,0.001637,5,22134,1.7718
70,0.001549,4,17975,1.6755
71,0.003578,4,17680,1.8116
72,0.004674,4,18559,1.7744
73,0.001999,5,21224,1.8226
74,0.001969,5,23442,1.7441
75,0.002194,4,17287,1.5382
76,0.001754,4,16578,1.7963
77,0.001993,5,22636,1.9591
78,0.001565,4,17981,1.8008
79,0.001666,5,22874,1.8349
80,0.002462,4,18173,1.7796
81,0.004582,6,28957,2.1044
82,0.001418,4,15992,1.7824
83,0.002152,5,22842,2.0525
84,0.002651,5,21796,1.8868
85,0.001677,5,23853,2.0195
86,0.001646,5,22871,1.7490
87,0.001866,5,20951,1.9104
88,0.001537,4,16873,1.8542
89,0.001522,4,17397,1.7420
90,0.001385,4,15910,1.6135
91,0.002089,5,20633,1.8440
92,0.003462,5,22209,1.8031
93,0.001378,4,17671,1.6371
94,0.001471,4,16635,1.6745
95,0.001644,5,21312,1.9048
96,0.004299,4,17656,1.8575
97,0.001754,5,21656,1.7989
98,0.001440,4,16839,1.7948
99,0.001984,6,27615,2.1113
100,0.002256,4,18173,1.7859
