Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,99.00%,99/100,-,-
MIN,0.006008,8.00,48056.00,198.0320
AVG,0.065246,43.55,205240.15,399.9119
MEDIAN,0.055578,41.00,191635.00,397.2771
MAX,0.178757,81.00,398305.00,604.7542
STDEV,0.037335,15.89,77515.42,72.6290

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.039166,31,143573,391.4310
2,0.085370,56,254032,428.4324
3,0.046800,35,167914,459.8907
4,0.041668,34,158661,369.8553
5,0.084351,55,273374,540.8391
6,0.143464,74,353134,391.4073
7,0.065727,47,226501,431.8015
8,0.078438,53,263777,438.5943
9,0.044167,33,167823,407.4481
10,0.070692,47,217152,406.2710
11,0.090833,58,272523,384.4355
12,0.178757,81,398305,343.6547
13,0.055578,41,204653,387.9430
14,0.078432,52,252310,493.1026
15,0.069263,51,225142,414.9533
16,0.033035,29,115859,346.8941
17,0.017865,17,76779,286.3918
18,0.061315,44,220112,334.7009
19,0.040681,33,158352,382.8657
20,0.067598,47,210989,494.6233
21,0.043580,35,150843,347.9697
22,0.048077,36,166331,375.6316
23,0.068233,47,221912,404.3393
24,0.046986,37,172697,386.0933
25,0.056271,43,194703,391.6979
26,0.030800,27,127010,392.1103
27,0.035095,30,146462,397.2771
28,0.086244,58,254550,604.7542
29,0.246262,98,484731,inf
30,0.060724,45,195611,570.9880
31,0.053252,40,186505,496.6933
32,0.023129,22,93112,384.3260
33,0.073071,51,229122,398.7260
34,0.052009,40,179119,438.6264
35,0.084804,55,257066,309.9668
36,0.065254,48,208028,503.6196
37,0.113469,62,302010,447.6568
38,0.129831,68,330820,477.0275
39,0.051572,39,175423,429.7213
40,0.023436,23,107628,325.2267
41,0.152337,76,364902,594.0390
42,0.023485,20,93556,371.5339
43,0.058653,43,202698,352.1406
44,0.044956,34,164766,210.2303
45,0.062992,46,208347,348.0297
46,0.079579,55,258113,415.7229
47,0.046187,38,175478,344.8652
48,0.025864,24,105424,312.6911
49,0.102895,63,294697,539.7101
50,0.032780,30,138518,389.1835
51,0.047678,37,169924,387.0872
52,0.040951,34,170028,406.4924
53,0.030338,28,109472,372.2837
54,0.031465,29,136789,395.7643
55,0.006008,8,48056,198.0320
56,0.048287,39,172610,413.9029
57,0.047756,37,172983,314.4120
58,0.087726,56,265078,402.9536
59,0.054322,40,191635,421.3358
60,0.065655,45,223172,419.7512
61,0.046907,37,177069,239.5101
62,0.027352,22,104017,364.8244
63,0.069906,48,232083,416.0208
64,0.058242,41,204307,411.6570
65,0.055931,42,182897,428.7134
66,0.034713,29,136786,375.2722
67,0.030921,27,111769,269.2727
68,0.028910,24,114317,426.3418
69,0.039298,31,143807,392.5754
70,0.136486,72,333548,436.7368
71,0.040276,32,153335,402.8937
72,0.098156,63,287602,427.2706
73,0.071925,48,223205,424.4402
74,0.133298,70,329055,373.0731
75,0.018424,17,109566,227.8709
76,0.046763,36,179742,382.5923
77,0.025490,22,98954,418.0612
78,0.031746,27,128753,351.3257
79,0.063652,45,216699,419.5248
80,0.043363,34,161324,330.8197
81,0.042079,32,148147,385.8435
82,0.039442,31,146926,363.1597
83,0.122561,67,325589,408.2990
84,0.049562,37,178000,402.4294
85,0.164323,77,387109,397.7142
86,0.092296,60,265085,384.1833
87,0.057215,43,206509,470.8261
88,0.032703,28,128929,318.9506
89,0.162588,78,371501,329.3277
90,0.080846,54,263804,422.7224
91,0.074498,52,241872,586.4838
92,0.022513,23,100560,336.8419
93,0.162012,80,386254,464.8293
94,0.050959,40,186044,390.4295
95,0.100674,57,289026,473.2572
96,0.047564,38,167995,361.1759
97,0.131438,70,342421,517.9741
98,0.075037,51,241591,383.4047
99,0.070285,48,242290,445.4243
100,0.150064,72,344125,401.0560
