Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.005558,10.00,44387.00,185.0435
AVG,0.023382,30.36,102500.97,264.1474
MEDIAN,0.018284,26.00,93902.50,250.8626
MAX,0.087232,89.00,252736.00,506.3902
STDEV,0.015247,15.97,44493.82,55.3820

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.015564,18,69274,220.9111
2,0.053908,60,176666,297.8748
3,0.062909,72,189482,405.1245
4,0.024161,34,110651,260.8180
5,0.017987,26,88273,223.7180
6,0.013306,19,64427,267.7866
7,0.021108,31,106702,311.6260
8,0.032188,40,126894,316.0764
9,0.007026,12,48142,198.7097
10,0.015762,25,82759,204.4361
11,0.017266,23,82268,227.5267
12,0.010421,16,58447,211.0432
13,0.032676,44,146439,280.3684
14,0.023489,34,108265,249.5981
15,0.011363,16,54679,227.6042
16,0.037973,46,145846,321.4185
17,0.017881,24,83042,249.4966
18,0.019416,26,93979,247.1386
19,0.087232,89,252736,506.3902
20,0.025522,37,112308,311.9532
21,0.055111,59,180188,272.3386
22,0.008946,15,59168,253.1783
23,0.028338,35,120397,227.4128
24,0.046578,52,155822,375.5452
25,0.028364,38,132693,295.1062
26,0.063156,73,218058,257.6157
27,0.011179,18,72108,243.9888
28,0.036281,47,150804,288.3743
29,0.008231,14,56817,210.5714
30,0.009834,17,66889,225.9585
31,0.011808,15,59432,270.8088
32,0.028483,35,122290,271.5644
33,0.009334,14,54734,261.0140
34,0.023673,34,113111,340.4106
35,0.051641,58,179968,248.8837
36,0.006678,11,45254,214.6529
37,0.014758,22,74208,234.3897
38,0.024672,33,110454,279.8399
39,0.039935,48,156064,274.9463
40,0.011605,15,56372,226.2895
41,0.017234,24,93826,254.3945
42,0.037141,47,167045,286.4287
43,0.030901,41,144049,258.5431
44,0.028334,38,138741,314.4791
45,0.009297,12,48254,202.4882
46,0.007767,12,51627,236.7351
47,0.055855,63,199782,353.2994
48,0.032750,41,126761,363.6898
49,0.040057,49,156564,310.9818
50,0.016024,22,76939,229.0123
51,0.021892,28,102652,269.2570
52,0.042149,47,151201,319.7561
53,0.005917,11,44387,233.7125
54,0.006116,11,44526,229.6356
55,0.026231,33,106876,307.0081
56,0.011860,20,75067,234.7468
57,0.010753,13,55266,198.0679
58,0.012177,15,55578,217.0205
59,0.012013,16,59094,206.9885
60,0.025016,34,103743,232.6266
61,0.026436,33,108294,231.4615
62,0.018129,26,84713,213.5446
63,0.023658,32,106473,317.6792
64,0.007220,13,53423,210.8276
65,0.015198,24,91149,231.1436
66,0.038508,45,134781,256.5666
67,0.014320,20,74583,207.6604
68,0.021114,30,97064,222.9550
69,0.014604,23,89285,327.1355
70,0.013065,21,81613,220.6461
71,0.028588,39,135554,252.4350
72,0.013253,17,64291,218.1050
73,0.017391,24,79415,235.3952
74,0.005558,10,46335,219.3108
75,0.008988,16,57325,213.5773
76,0.012133,16,56563,198.8996
77,0.009190,16,59190,255.8499
78,0.010749,16,58095,206.0352
79,0.013076,22,76467,320.6893
80,0.019591,25,92125,236.8486
81,0.011955,19,74737,205.6764
82,0.040803,47,166251,354.1992
83,0.012119,15,55066,234.6562
84,0.027400,37,132514,282.0511
85,0.018296,28,101669,278.2717
86,0.025448,33,114875,390.0372
87,0.014862,23,79218,222.5625
88,0.007580,14,53417,193.4526
89,0.030215,40,132432,293.3728
90,0.008707,15,59042,185.0435
91,0.026102,35,120033,347.6164
92,0.028397,35,115870,200.8830
93,0.023689,33,107409,325.0887
94,0.017280,24,88942,322.8266
95,0.054977,63,179697,322.7173
96,0.018272,26,104210,223.8185
97,0.047282,57,167677,346.3695
98,0.011999,18,75260,230.9974
99,0.044519,54,181446,252.1271
100,0.022288,30,105506,334.8296
