Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,93.00%,93/100,-,-
MIN,0.005043,10.00,39127.00,163.2595
AVG,0.029268,61.70,195786.45,246.7914
MEDIAN,0.026740,57.00,181854.00,237.9075
MAX,0.080968,160.00,483631.00,423.8876
STDEV,0.017053,34.32,106938.36,48.8634

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.023882,53,162681,250.0165
2,0.051331,107,320645,246.3130
3,0.008314,17,51311,231.9987
4,0.006457,13,48150,194.8150
5,0.038292,83,267059,263.7474
6,0.013255,29,94705,175.4306
7,0.055989,114,373582,235.7018
8,0.014549,32,100626,215.3128
9,0.025641,57,156412,412.9419
10,0.020054,42,135609,247.6304
11,0.006569,14,46763,245.2388
12,0.048901,102,319196,423.8876
13,0.041603,89,279131,236.2988
14,0.074029,148,439922,234.5601
15,0.053912,111,349472,169.0381
16,0.048537,100,318004,252.4423
17,0.018635,42,130605,207.3266
18,0.016675,36,107687,247.9774
19,0.007974,17,62192,184.1537
20,0.037262,81,243183,219.9250
21,0.055732,114,360447,323.2901
22,0.017702,39,130381,228.6134
23,0.060413,123,374339,316.9205
24,0.005316,10,39599,163.2595
25,0.029227,65,195831,245.0163
26,0.027938,61,187575,318.9174
27,0.051163,105,347665,211.9762
28,0.026771,57,181854,194.2996
29,0.087788,171,494412,inf
30,0.026920,59,206563,255.2640
31,0.026740,60,154759,237.9075
32,0.010094,22,74179,251.4243
33,0.050679,105,335108,306.4970
34,0.025637,55,182674,217.0349
35,0.037007,80,273384,224.9991
36,0.012130,27,84649,202.7587
37,0.079110,155,492354,inf
38,0.008364,18,52964,219.5204
39,0.046542,98,315387,226.2745
40,0.018181,41,129874,306.6100
41,0.031863,69,234900,275.3972
42,0.029221,63,202424,221.2187
43,0.039127,84,270409,264.2749
44,0.024068,53,175034,262.7186
45,0.029885,65,198346,329.2626
46,0.029774,61,198481,258.8535
47,0.023925,53,162788,270.4696
48,0.023943,53,174575,229.8663
49,0.008893,19,63261,224.9089
50,0.097461,191,494603,inf
51,0.014949,33,106487,196.9663
52,0.025036,39,99970,191.9314
53,0.023621,52,173948,337.6868
54,0.049360,104,307162,248.0285
55,0.049548,104,307824,202.5519
56,0.062509,123,397566,285.3904
57,0.020705,45,151102,220.2926
58,0.030885,66,221401,365.6633
59,0.011190,24,83602,225.3541
60,0.014746,33,105490,191.4680
61,0.034793,75,236902,332.1993
62,0.080968,160,483631,325.3066
63,0.028311,58,198354,251.5386
64,0.020363,45,160102,260.3009
65,0.032740,71,254864,214.1095
66,0.043820,93,288637,226.9217
67,0.039652,86,249032,313.4633
68,0.022071,49,153657,246.6163
69,0.033282,63,208160,219.1031
70,0.009842,21,69702,215.8484
71,0.030290,66,210877,262.9890
72,0.028010,62,190469,304.6372
73,0.035225,76,259347,255.6184
74,0.005371,11,47451,182.7587
75,0.080492,158,492667,inf
76,0.022580,50,158742,279.1792
77,0.047388,99,321677,181.5038
78,0.022091,41,125386,262.9174
79,0.017182,39,100579,245.8828
80,0.067164,133,458579,268.0799
81,0.008145,17,62424,195.3421
82,0.019507,44,134989,201.1005
83,0.085029,166,493279,inf
84,0.019740,44,140911,250.8811
85,0.005043,10,39127,190.6659
86,0.013623,30,106571,223.6771
87,0.081988,161,492718,inf
88,0.082213,157,491957,inf
89,0.024388,54,164361,215.7063
90,0.009268,20,81120,215.6002
91,0.038768,82,275642,222.8883
92,0.035840,78,242492,229.2770
93,0.064159,126,397916,299.7178
94,0.034526,76,200693,306.7014
95,0.011613,26,79696,267.0569
96,0.015418,32,102792,243.6026
97,0.018146,41,131004,201.7937
98,0.032080,70,219321,241.2844
99,0.007290,15,54608,220.9534
100,0.051578,106,329388,228.7334
