Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.003380,7.00,33839.00,1.4664
AVG,0.006743,10.72,48058.05,1.6869
MEDIAN,0.005946,10.00,45154.00,1.6891
MAX,0.014982,19.00,78665.00,2.0180
STDEV,0.002536,2.87,10481.92,0.1114

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.003987,8,38051,1.6216
2,0.005924,12,52208,1.7382
3,0.006014,12,51943,1.7467
4,0.005711,8,37647,1.7554
5,0.006653,9,42443,1.4776
6,0.006616,10,44777,1.6564
7,0.012399,17,70431,1.5433
8,0.008111,9,41937,1.5474
9,0.007158,12,52784,1.8263
10,0.008938,12,51738,1.5090
11,0.010077,14,60451,1.7300
12,0.010674,18,73933,1.7854
13,0.007206,15,63089,1.9779
14,0.011111,16,66493,1.7208
15,0.006207,12,53150,1.5373
16,0.010590,17,71947,2.0180
17,0.005393,11,48621,1.6805
18,0.003717,7,34225,1.6508
19,0.007497,11,49203,1.6290
20,0.006318,9,41535,1.7214
21,0.006761,12,52729,1.6405
22,0.005944,10,45482,1.6459
23,0.005586,10,44497,1.6102
24,0.004452,8,38452,1.6040
25,0.004916,10,45959,1.6849
26,0.004340,8,37278,1.8073
27,0.005255,9,42258,1.6884
28,0.004970,9,40591,1.7330
29,0.007875,9,41649,1.6636
30,0.009704,12,54943,1.7801
31,0.005692,11,48750,1.7707
32,0.003948,7,33839,1.7733
33,0.005855,10,44778,1.8584
34,0.004398,9,42196,1.4996
35,0.008672,13,56949,1.5406
36,0.003916,8,38289,1.5534
37,0.009677,13,55615,1.7518
38,0.014511,18,73684,1.5305
39,0.005141,9,41530,1.6348
40,0.005947,9,42410,1.5281
41,0.014982,19,78665,1.5860
42,0.004515,9,42253,1.6027
43,0.004687,9,42167,1.6695
44,0.005224,10,45185,1.7883
45,0.009629,14,60114,1.6413
46,0.004439,9,40964,1.4664
47,0.004775,9,41557,1.7829
48,0.006079,10,45904,1.5138
49,0.005473,10,45741,1.7898
50,0.005533,11,49632,1.7341
51,0.007559,14,59678,1.6930
52,0.006208,11,49317,1.7090
53,0.011888,17,71347,1.7748
54,0.006363,8,37830,1.7085
55,0.012635,18,74200,1.8591
56,0.003970,8,38974,1.7091
57,0.009166,11,49890,1.7222
58,0.004378,9,42878,1.6297
59,0.004245,8,38224,1.6610
60,0.005100,9,41985,1.6899
61,0.003971,8,39262,1.5571
62,0.007020,12,52390,1.7107
63,0.005694,12,52185,1.7509
64,0.005290,11,49804,1.7352
65,0.006491,9,42682,1.6437
66,0.005803,9,41638,1.5505
67,0.006073,9,41072,1.5499
68,0.003531,7,34329,1.7030
69,0.009724,14,61001,1.9095
70,0.004659,9,41801,1.6468
71,0.003380,7,34466,1.5106
72,0.005360,11,48361,1.7040
73,0.006458,8,37629,1.6817
74,0.004115,8,37872,1.6312
75,0.004445,9,41428,1.6092
76,0.008030,8,38830,1.5545
77,0.005259,10,45123,1.8585
78,0.004811,10,45034,1.7160
79,0.005921,9,41579,1.7410
80,0.004912,8,37553,1.6836
81,0.005791,10,46103,1.5926
82,0.005657,9,41596,1.6462
83,0.005103,10,44418,1.7784
84,0.009407,12,52472,1.6881
85,0.006041,10,45552,1.7968
86,0.006823,9,41062,1.5440
87,0.012120,17,70742,1.7393
88,0.012295,16,68475,1.9419
89,0.005640,10,46192,1.7648
90,0.007452,10,45644,1.8280
91,0.008057,8,38704,1.8101
92,0.004934,10,45595,1.4949
93,0.009223,13,56018,1.7186
94,0.009877,12,52718,1.6152
95,0.005204,8,38905,1.5834
96,0.006229,10,45470,1.7388
97,0.011668,16,68017,1.8173
98,0.004501,8,38038,1.8347
99,0.006035,12,52862,1.7242
100,0.006580,8,38194,1.6777
