Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.001585,2.00,9307.00,1.3805
AVG,0.002706,4.41,20091.52,1.7828
MEDIAN,0.002466,4.00,18826.00,1.7761
MAX,0.007096,11.00,45929.00,2.4701
STDEV,0.001046,1.24,5041.12,0.1992

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.004131,8,35342,2.0457
2,0.002496,5,22388,1.8366
3,0.002956,4,18697,1.6942
4,0.001606,3,14370,1.5420
5,0.002782,4,18520,1.7447
6,0.003800,4,18848,1.8020
7,0.001687,3,14556,1.5664
8,0.002309,3,14072,1.6170
9,0.002298,4,18368,1.6674
10,0.003266,7,31040,1.9155
11,0.001779,3,14166,1.4917
12,0.003690,6,26410,1.8352
13,0.002062,4,17981,1.7243
14,0.001585,3,14422,1.4657
15,0.002477,5,22541,1.7418
16,0.003141,4,17846,1.6852
17,0.002582,4,18372,1.6616
18,0.002176,3,14525,1.6303
19,0.001962,4,18692,1.8027
20,0.002421,5,22508,1.8086
21,0.002021,4,19057,1.5845
22,0.001946,4,18957,1.7933
23,0.002523,5,23493,2.1454
24,0.002747,6,25022,2.1751
25,0.001825,3,14489,1.5310
26,0.002503,5,22502,1.8355
27,0.002360,5,23341,2.1648
28,0.002344,5,22225,1.9483
29,0.003240,6,25823,1.8203
30,0.003145,4,18415,1.8364
31,0.001857,3,14625,1.6367
32,0.002657,3,14209,1.7223
33,0.002700,4,18598,1.5789
34,0.005750,4,17814,1.5809
35,0.001839,3,14564,1.6172
36,0.001883,2,9307,1.3805
37,0.002400,5,21462,2.1202
38,0.002483,5,22423,1.8111
39,0.002847,5,23023,2.2763
40,0.003914,5,22455,2.1079
41,0.002382,5,22982,1.9322
42,0.002433,3,14319,1.5686
43,0.001829,3,14172,1.5614
44,0.003295,5,22927,1.9486
45,0.001900,3,14679,1.5042
46,0.002485,4,17959,1.7193
47,0.001947,3,13977,1.5440
48,0.002880,6,26048,2.2529
49,0.001935,4,17927,1.7778
50,0.002071,4,18052,1.8404
51,0.002996,5,22628,2.0634
52,0.001900,4,18338,1.8300
53,0.001990,4,18719,1.5914
54,0.002406,5,22432,1.7828
55,0.002087,4,18083,1.6976
56,0.001928,4,18923,1.9255
57,0.002849,6,26477,2.0695
58,0.002385,3,13859,1.5572
59,0.002045,4,18841,1.6367
60,0.005069,6,26677,1.8572
61,0.002078,4,19008,1.7275
62,0.002099,4,18915,1.6478
63,0.002539,4,18119,1.8927
64,0.002080,4,18920,1.8216
65,0.001977,4,18281,1.6944
66,0.002261,5,23058,2.1585
67,0.007096,7,30446,1.8594
68,0.002593,5,23009,1.6812
69,0.002550,5,21886,1.8327
70,0.004666,11,45929,2.4701
71,0.001931,4,17667,1.8272
72,0.001964,4,18973,1.8031
73,0.001686,3,14403,1.5637
74,0.006722,6,27034,2.2486
75,0.004673,4,19326,1.5829
76,0.002050,4,18178,1.6167
77,0.002454,4,17671,1.7198
78,0.002826,6,26569,1.8154
79,0.002094,4,18525,1.8235
80,0.002760,4,19039,1.8250
81,0.001614,3,14293,1.4860
82,0.006185,6,25958,1.7745
83,0.002030,4,18811,1.8964
84,0.003137,4,18645,1.7515
85,0.003739,4,18883,1.7118
86,0.003401,6,26434,1.8614
87,0.002554,5,21893,1.8734
88,0.002577,4,18765,1.7636
89,0.002755,5,22512,1.7688
90,0.002305,4,18297,1.7465
91,0.002078,4,17662,1.6813
92,0.004941,4,19049,1.6858
93,0.002587,5,21951,1.8680
94,0.003258,3,13664,1.5712
95,0.002004,4,18026,1.6037
96,0.002651,4,18531,1.7898
97,0.001989,4,18658,1.5674
98,0.002744,5,23363,1.9387
99,0.002703,6,26861,1.9349
100,0.003266,4,18453,1.7843
