Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.003811,3.00,54541.00,148.2199
AVG,0.004098,3.06,56708.92,160.7374
MEDIAN,0.004001,3.00,56299.50,159.9185
MAX,0.005696,4.00,65683.00,186.8970
STDEV,0.000368,0.24,2099.37,6.3530

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.003811,3,57128,159.2206
2,0.003916,3,55819,158.7246
3,0.003950,3,55679,155.1554
4,0.003986,3,55700,156.3400
5,0.003956,3,56111,156.9038
6,0.004130,3,55824,155.4346
7,0.004290,3,56297,160.6384
8,0.004125,3,55625,160.3759
9,0.003933,3,56600,151.6755
10,0.004008,3,56811,161.6096
11,0.003976,3,55990,157.4550
12,0.003957,3,56694,169.8123
13,0.003962,3,56245,156.1781
14,0.004172,3,55478,162.0733
15,0.003974,3,56335,148.4099
16,0.004167,3,56472,160.9173
17,0.004008,3,56488,158.1580
18,0.004068,3,56547,160.7414
19,0.004064,3,54541,155.1892
20,0.004063,3,56199,160.9019
21,0.003897,3,56375,159.8356
22,0.003984,3,56750,154.6535
23,0.005583,4,63784,163.5583
24,0.004060,3,55638,157.3603
25,0.004018,3,56689,156.2004
26,0.004007,3,55664,151.2883
27,0.004025,3,56176,162.7780
28,0.003965,3,56741,170.4398
29,0.003896,3,55675,161.5515
30,0.004065,3,57222,158.1595
31,0.004061,3,57044,168.6216
32,0.003999,3,56404,166.3969
33,0.004037,3,56252,156.3816
34,0.004102,3,56723,157.1982
35,0.004025,3,55660,160.6568
36,0.003944,3,56425,165.3394
37,0.003981,3,56762,172.9583
38,0.003964,3,56506,162.4624
39,0.005507,4,64880,164.3866
40,0.003961,3,56006,161.0304
41,0.003903,3,56987,161.8425
42,0.004183,3,55736,158.2891
43,0.004162,3,56941,159.0845
44,0.003993,3,57032,152.0275
45,0.005421,4,65007,178.1297
46,0.004090,3,56855,155.6141
47,0.003894,3,56381,156.0568
48,0.003994,3,56391,152.2720
49,0.005356,4,65110,179.6204
50,0.003873,3,56535,164.4372
51,0.004028,3,55268,165.8032
52,0.003917,3,56429,158.3294
53,0.004244,3,55598,164.9376
54,0.004000,3,56289,161.4316
55,0.003953,3,55213,165.4431
56,0.003955,3,56212,156.6093
57,0.004136,3,55754,159.9493
58,0.003886,3,56627,161.9164
59,0.003867,3,56589,172.7572
60,0.004033,3,55420,162.3811
61,0.003930,3,56138,158.1537
62,0.003895,3,55713,169.1404
63,0.004009,3,56302,151.9496
64,0.003952,3,56589,167.8997
65,0.003981,3,56510,152.3220
66,0.003957,3,56483,171.6902
67,0.003849,3,56003,156.7110
68,0.004008,3,55237,157.9537
69,0.004194,3,57059,168.4800
70,0.003958,3,56887,156.2974
71,0.004084,3,57001,154.5757
72,0.004002,3,55597,169.2214
73,0.003889,3,56172,153.7966
74,0.003887,3,56534,159.1407
75,0.004008,3,56076,157.0217
76,0.005434,4,63815,161.3199
77,0.004013,3,55790,161.2215
78,0.003957,3,57329,159.6356
79,0.004263,3,55000,152.8585
80,0.003991,3,55635,157.5889
81,0.004201,3,56097,155.3238
82,0.004101,3,56133,159.8876
83,0.004037,3,55018,159.6949
84,0.004017,3,55650,163.2314
85,0.004053,3,56350,157.2103
86,0.003931,3,55712,165.7541
87,0.004256,3,56030,156.3362
88,0.004082,3,56278,161.2057
89,0.003910,3,55257,156.1475
90,0.003921,3,56476,148.2199
91,0.004060,3,56073,158.5818
92,0.004067,3,56222,161.5274
93,0.005696,4,65683,186.8970
94,0.004103,3,56529,170.3361
95,0.003955,3,56465,164.1567
96,0.003942,3,55626,162.9890
97,0.003895,3,55696,161.0004
98,0.003969,3,56742,157.7119
99,0.003898,3,55766,161.5273
100,0.003937,3,56886,164.9200
