m,l0,phi,eps,is_sat
0.0,0.02,0.004000755,3.018169e-06,False
0.0025125628,0.02,0.19672072,8.6398734e-07,False
0.0050251256,0.02,0.27316684,9.2567484e-07,False
0.007537688,0.02,0.32887495,1.1505488e-06,False
0.010050251,0.02,0.37366515,9.3662845e-07,False
0.012562814,0.02,0.41141704,9.4786486e-07,False
0.015075376,0.02,0.4441675,9.585347e-07,False
0.01758794,0.02,0.47313124,9.790394e-07,False
0.020100502,0.02,0.49912012,9.573581e-06,False
0.022613065,0.02,0.5223353,0.0009672451,False
0.025125628,0.02,0.54352176,0.001964506,False
0.027638191,0.02,0.5630088,0.002971113,False
0.030150753,0.02,0.58103913,0.00399173,False
0.032663316,0.02,0.59780616,0.0050333287,False
0.03517588,0.02,0.6134653,0.0060884347,False
0.03768844,0.02,0.62814707,0.007168185,False
0.040201005,0.02,0.6419581,0.008269671,False
0.042713568,0.02,0.65498924,0.009393088,False
0.04522613,0.02,0.6673176,0.010538608,False
0.047738694,0.02,0.6790095,0.011705413,False
0.050251257,0.02,0.69012237,0.012893287,False
0.05276382,0.02,0.7007059,0.014101597,False
0.055276383,0.02,0.71080434,0.015330039,False
0.057788946,0.02,0.72045594,0.016576562,False
0.060301505,0.02,0.7296953,0.01784267,False
0.06281407,0.02,0.73855275,0.019126728,False
0.06532663,0.02,0.7470556,0.020428456,False
0.0678392,0.02,0.7552284,0.021746991,False
0.07035176,0.02,0.7630932,0.023082057,False
0.072864324,0.02,0.7706702,0.024432855,False
0.07537688,0.02,0.7779771,0.025798963,False
0.07788945,0.02,0.7850309,0.027179936,False
0.08040201,0.02,0.7918464,0.028575458,False
0.08291457,0.02,0.7984374,0.029984888,False
0.085427135,0.02,0.8048167,0.031407844,False
0.087939695,0.02,0.8109959,0.032843903,False
0.09045226,0.02,0.81698567,0.034292527,False
0.09296482,0.02,0.8227965,0.03576014,False
0.09547739,0.02,0.8284357,0.03722681,False
0.09798995,0.02,0.8339138,0.038711574,False
0.10050251,0.02,0.839238,0.040208034,False
0.10301507,0.02,0.84441555,0.041714825,False
0.10552764,0.02,0.84945333,0.043232776,False
0.1080402,0.02,0.8543578,0.044760976,False
0.110552765,0.02,0.8591349,0.046299677,False
0.113065325,0.02,0.8637903,0.047848087,False
0.11557789,0.02,0.8683291,0.04940594,False
0.11809045,0.02,0.87275624,0.05097343,False
0.12060301,0.02,0.87707645,0.05255012,False
0.12311558,0.02,0.88129413,0.054135904,False
0.12562814,0.02,0.88541317,0.05573038,False
0.1281407,0.02,0.88943756,0.057333358,False
0.13065326,0.02,0.89337105,0.058944926,False
0.13316582,0.02,0.8972168,0.0605644,False
0.1356784,0.02,0.90097845,0.062192045,False
